Number;Description;Development_Type;Dev_Cat;Affect_RPA;Dev_Sprint;Effort;Assignment_group
RITM1399702;"Alteração de tarefas do WF_OTC_102.
Abrange as OTCs 223, 224, 225, 226, 227, 228.

Inclusão de tarefa para a fila de PTP;
Inclusão e alteração de tarefa para a fila de RTR;
Inclusão de notas para o atendente;
Alteração das perguntas aparentes para o atendente e obrigatoriedade de preenchimento.

Conforme arquivo anexo.";Workflows and Tasks;Support advanced;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1400034;"Gentileza alterar conforme abaixo:

Multirow dados do deposito: Deve ser criado um multirow diferente, pq o utilizado no formulario é do Brasil.
O campo empresa do multirow deve ser eliminado e o campo unidade deve vir preenchido com a empresa do solicitante.. 
No campo banco, se for colômbia trazer as opções abaixo:
Bancolombia
Banco Davivienda
Banco de Bogotá
BBVA
Banco AV Villas 
Deutsche 

Campo moeda abrir para preenchimento, hoje o campo esta bloqeuado. Se for colombia trazer duas opções para preencher: Peso Mexicano e Dólar USD.";Service Catalog;Support advanced;No;;4;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1400271;"Criar rotina PTP_238 conforme detalhamento em anexo.
Abertura toda quarta e sexta às 10:00 h somente para Brasil.";Service Catalog;Support;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1400315;"Favor fazer alteração no formulário ""Solicitar informações diversas"" para que o campo país não tenha mais filtro e que apareça todos os países.";Service Catalog;Support;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1400385;Incluir campos na request da oferta PTP_171 conforme detalhamento anexo.;Service Catalog;Support advanced;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1400619;"Alterar a descrição da oferta para ""Disponibilizar balancete SAP para auditoria""
Alterar a task title para ""Disponibilizar balancete SAP para auditoria""
Alterar a task description para ""Gerar balancete SAP e disponibilizar em arquivo TXT.""";Service Catalog;Support;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1400796;Retirar EUA da chave de abertura PTP_KEY_0005.;Service Catalog;;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1400960;"Criação de novas ofertas (rotinas) e WFs, conforme arquivo anexo.

OTC_415 Avaliar BarCodes em Aberto
OTC_416 Realizar contabilização de pagamentos diários
OTC_417 Realizar contabilização - Inconsistências RPA
OTC_418 Avaliar Pendências - VFX3
OTC_419 Avaliar Pendências - J1BNFE";Workflows and Tasks;Support;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1401175;"Gentileza alterar conforme abaixo:
Adicionar a pergunta para o atendente responder: Necessário encaminhar para Contas a receber?
essa pergunta deve vir preenchida com ""Nao"";
Quando essa pergunta for alterada para ""Sim"" deve abrir a tarefa abaixo:
Nome da tarefa: Avaliar solicitação da atividade de liberação antecipada
Fila: _GG_WBS_OTC_BR_ACCOUNTING_RECEIVABLE
SLA: (8-5) 2:00 hour
Esforço: 20 minutos
Essa tarefa deve ser posicionada no STEP 23. Antes da tarefa ""Enviar spool da NF conforme descrito na ..""";Service Catalog;Support advanced;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1401474;"Criar um serviço no Chatbot para ""Consultar tipo de frete""
O Bot deve realizar as perguntas e apresentar as opções de resposta conforme fluxograma.";Chat Bot;Development;No;21;6;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1401575;"Melhoria no uso das interações.

Em Subcategoria renomear Boleto para  2ª Via do Boleto e Informação de XML para Copia Danfe ou XM
Em Subcategoria adicionar os seguintes itens em Subcategoria do processo: Previsão de Pagamento, Escalar, Reclame aqui, Entrada de Danfe nos almoxarifados, Cobrança, Contas a receber, Crédito, Faturamento, ""Prazo, protesto e cartas de anuência"", ""Impostos, NCM, YE"" , 2º Nível SD, 1º Nível SD.
Em Tipo, adicionar o tipo Portal, será utilizado pelo reclame aqui.
Em Status, adicionar aberto, será utilizado pelo reclame aqui.
Eliminar o campo Ramal (não utilizaremos em nenhuma interação).

Permitir que a View do time do Service Desk no Agent Workspace mostre junto com RITM, TASK e INC também as IMS, será utilizado para tratar o processo de Atendimento 2º nível e também o Reclame Aqui.";Agent Workspace;Support;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1401723;"FF202

1. Campo “Empresa”
Ordenar as empresas em ordem crescente do número da empresa.

Quando seleciona o país Brasil, não está ordenando as empresas que são apresentadas.

2. Campo “Conta bancária”
Para o país México, está trazendo bancos que não existem. Aparentemente está lendo a tabela BNKA sem passar o país T012.BANKS

Notas: 
a) Os bancos do México estão em dois países.
b) Várias contas bancárias podem apontar para o mesmo registro da tabela BNKA.

3. Campo “Request country”
Traduzir o campo.";Service Catalog;Project;No;;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1401777;Adicionar step de aprovação no RTR_WF_3244 oferta de serviço RTR_3244 conforme anexo;Service Catalog;Project;No;;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1401829;Favor alterar o SLA da oferta de serviços RTR_1472 para 12 horas.;Service Catalog;Support;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1402870;"Tradução de formulário solicitação de impressora para o Espanhol.
Suporte a impressora:
https://wbsqa.myweg.net/sp?id=sc_cat_item&sys_id=1256f8b687ac3410ab942139cebb35b6&catalog_id=-1

Detalhes para tradução segue em anexo:

Qualquer dúvida estou a disposição.";Service Catalog;Project;No;;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1404397;"Rotina PTP_079 para México:
Alterar schedule:
De: 4 Month day | 0h | No calendar | Every month | America/Sao Paulo
Para: Último dia útil do mês - calendário México - local hub.";Service Catalog;Project;No;;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1404435;"Rotina PTP_066 para México:
Alterar schedule de periodicidade da rotina para:

Terças e quintas - 08:00 h local hub - México - Cidade do México.";Service Catalog;Project;No;;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1404448;"Rotina PTP_067 para México:
Alterar schedule de periodicidade da rotina:

Para: Terças e quintas 08:00 h local hub México - Cidade do México";Service Catalog;Project;No;;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1404570;Solicitação para Teste de aprovações;My Approvals;Support advanced;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1404592;"Rotina PTP_053 para Mèxico:
Alterar schedule periodicidade da rotina do México para:

Todas sextas-feiras - 08:00 h local hub México - Cidade do México - horário do México.";Service Catalog;Support;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1405612;Criar oferta de serviço conforme planilha anexa.;Service Catalog;Support advanced;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1407311;Ajustar oferta RTR_3151 e workflow RTR_WF_3151, para aumentar o SLA para 160 horas e alterar o schedule job registration para: CO Local HUB | UTC-5 | Every month | 2 Business day | 0h;Workflows and Tasks;Support;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1407326;"Favor inserir a fila ""_GG_WBS_RTR_BR_ACCOUNTING_CLOSING_OVERSEAS"" no step ""RTR_WF_3025_v1 | 1 | Enviar e-mail"".";Service Catalog;Support;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1408359;"Gentileza alterar o multirow Dados do deposito para México:
No campo Banco, as opções que deve vir pra selecionar sao:
Banco Nacional de México
BBV BANCOMER
SANTANDER

No campo moeda deve ter a opção:
Peso Mexicano
Dólar USD";Service Catalog;Project;No;;3;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1408599;"Precisamos que a oferta OTC_406 seja ""retirada"" da visão comercial.
Não estão sabendo usar essa oferta, então precisamos que eles não tenham acesso.
Já havia aberto um chamado onde o mesmo foi encerrado RITM1227921, porem estamos recebendo abertura dessa oferta.

Precisamos que seja incluído nessa oferta a opção de informar os gestores comercias para que siga o fluxo de aprovações.";Service Catalog;Support advanced;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1408863;Alterar a chave de abertura para RTR_KEY_1055 - Por empresa (Empresas com SAP ECC - Brasil);Service Catalog;Support;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1408915;"Alterar a chave de abertura para RTR_KEY_1055 - Por empresa (Empresas com SAP ECC - Brasil) e o tipo de registro para ""Dinamico""";Service Catalog;Support;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1411950;"Kaizen : ""where used""
UI Action na visão de lista das variáveis que abre todas as policies/scripts que envolvem a variável em questão, um em cada aba do navegador.
Cada vez que se acessa uma variável é necessário procurar em mais de um lugar para saber quais policies e scripts utilizam essa variável";Others;Project;No;;16;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1411964;"Kaizen: Implantar processo de testes automatizados no ambiente de QA da plataforma global de serviços do WBS com o desenvolvimento de, no mínimo, 5 testes por esteira
Utilizar o ATF (Automated Test Framework) e agendar a execução diaria.";Others;Support advanced;No;;80;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1412256;"Novas perguntas para o atendente, incluindo novas variables, e alteração da ordem em que as perguntas aparecem, conforme aba ""Variables"".

Novos SLAs condicionais, conforme aba ""Service Offering Overwrites"".

Alteração do WF, conforme aba ""Workflow"".

Novos campos no variable set WF_121.

Alterar o subflow Conferce Billing Process


Todas as alterações constam no arquivo anexo.";Workflows and Tasks;Support advanced;No;;4;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1412370;Criar rotina OTC_562 conforme tamplete em anexo.;Service Catalog;Support;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1412423;"Disponibilizar com maior frequência registros de dados mestres no WBS, provenientes do SAP ECC e B1.
- Dados de clientes (KNA1)
- Dados de fornecedores (LFA1, LFB1, LFBK, LFM1)
- Dados de business partners (B1 - OCRD)
- Dados de centros de custo e lucro (CSKS, CEPC) 

Criar deltas quando necessário, no SAP Data Services e Data Source no ServiceNow (campo data de ultima modificacao).";Data and Loads;Development;No;21;8;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1412565;"Favor alterar SLA da RTR_1766:
DE: 12H
PARA: 8H

Assim como seu respectivo workflow RTR_WF_1939_v1  |  1  |  Efetuar conferência:
DE: 12H
PARA: 8H";Workflows and Tasks;Support;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1412715;"Favor verificar as regras de abertura de rotina da ""3011 | WPE"" pois temos em alguns steps como ""3011 |  WPE"" com um espaço adicional. Favor alterar quando tiver este espaço adicional para que ele seja excluído deixando apenas ""3011 | WPE"".";Service Catalog;Support;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1412756;Alterar a data de abertura do RTR_1225 para Monthly - 3rd business day - 13:00 (GMT-3) - Global HUB;Workflows and Tasks;Support;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1412853;"O formulário FF189 - Solicitar tarifa do Centro de Custos, precisa que o campo ""Gestor aprovador - o mesmo não é aparente"" seja preenchido antes que o solicitante consiga remeter o mesmo. Isso evita que ao preencher o campo com o número do centro de custos o formulário seja remetido antes que a consulta por aprovador seja concluída.";Service Catalog;Project;No;;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1412874;"Favor verificar as regras de abertura de rotina da ""3011 | WCH"" pois temos em alguns steps como ""3011 | WCH"" com um espaço adicional. Favor alterar quando tiver este espaço adicional para que ele seja excluído deixando apenas ""3011 | WCH"".";Service Catalog;Support;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1413081;RTR_1469 desativar oferta.;Service Catalog;Project;No;;1;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1413132;"Ajustar Workflow RTR_WF_1743, para atualizar o template utilizado no Step 11 - wis one. Utilizar o template anexado nessa solicitação. Necessário manter a validação dos valores, nessa tarefa, para determinar as aprovações dos steps seguintes, conforme alçada:
> Quando os pagamentos forem menores ou iguais a R$ 3.000,00, pede aprovação para o chefe de Impostos.
> Quando os pagamentos forem maiores do que R$ 3.000,00, pede aprovação para o chefe de Impostos e para o Gerente também.
Essa validação de valores precisa acontecer por linha, da planilha anexada.";Workflows and Tasks;Support advanced;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1413445;"Alterar o SLA da oferta RTR_942 para 8h
Alterar o SLA do WF RTR_WF_830_v1  |  1  | e RTR_WF_830_v1  |  2  |  para 4h";Service Catalog;Support;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1414107;"Realizar alteração do OTC_WF_125, conforme alterações anexo.

OTC_WF_125 atende as OTCs 214, 215, 159, 160, 164 e 197.";Workflows and Tasks;Support;No;;4;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1414178;"Para a Colombia - desativar as ofertas PTP_022 / PTP_023 / PTP_082 e

Ativar as ofertas PTP_236 e PTP_237.";Service Catalog;Support;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1414207;RTR_KEY_4016 - Países exterior extrato mensal CARREGAR DE DEV PARA QA E PRD;Service Catalog;Project;No;;1;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1414297;"É PRECISO ESTAR PRONTO ANTES DO GOLIVE.


As ofertas abaixo não pode ser visualizadas pelo México, favor desativá-las. 
RTR_015
RTR_028
RTR_036
RTR_076
RTR_078
RTR_081
RTR_1219
RTR_1223
RTR_1497";Service Catalog;Project;No;;1;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1414320;Favor alterar o SLA da task 1 para 18 horas e alterar o SLA da task 2 para 6 horas.;Service Catalog;Support;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1414328;"Deixar o formulário RTR_FF_051 - ""Enviar documentos al archivo"", visível somente para os solicitantes do Brasil.
Localização: _AG_WBS_LOC_COUNTRY_BR
RTR_026
RTR_987
RTR_988
RTR_1062
RTR_1139
RTR_1142
RTR_1144";Service Catalog;Project;No;;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1414341;Favor alterar o schedule da oferta para trimestral 3° dia 12hs. E alterar o SLA da primeira task para 18 horas e da segunda task para 4 horas. A oferta deve de ter o SLA total de 22 horas.;Service Catalog;Support;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1414889;"Favor fazer transporte das chaves abaixo para o ambiente PRD, as mesmas não poderão abrir ofertas para o México no Golive.

RTR_KEY_3009
RTR_KEY_3014
RTR_KEY_3022";Routine parameters;Project;No;;1;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1415119;"No fluxo do formulário ""Solicitar liberação de sites"", alterar filas de atendimento conforme abaixo.

USUÁRIOS BRASIL: _GG_WBS_IT_BR_SERVICE_DESK_DISPATCHER

USUÁRIOS EXTERIOR (MIGRADO WBS): _GG_WBS_IT_BR_SERVICE_DESK_INTERNATIONAL_DISPATCHER

USUÁRIOS EXTERIOR (NÃO MIGRADO WBS): Replicar incidente para Salesforce, fila ""Help Desk Internacional""";Service Catalog;Support advanced;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1415323;"OTC_548 Corrigir lógica para obrigar o preenchimento do campo Código do Cliente somente se o campo “Necesita enviar documentos adjuntos para cliente?” estiver preenchido com SIM 
Se não responder o campo “Necesita enviar documentos adjuntos para cliente?” (/= SIM) não obrigar o preenchimento do campo “Código do cliente”.

Está obrigando o preenchimento do código do cliente nos casos onde não é respondido, na tarefa para o atendente no agent workspace.

Corrigir lógica para sempre obrigar a carregar os anexos no campo Agregar archivos adjuntos e não deixar submeter sem carregar o arquivo. Não está obrigando carregar o anexo.Q
Informar mensagem de erro: Es necesario enviar comprovante de entrega. Por favor, compruebe.

RITM1409921 – Produção
RITM0284800 - QA";Service Catalog;Support advanced;No;;4;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1415661;"otc_529 - retirar de Obrigatorio o campo ""Agência para deposito do crédito""";Service Catalog;Project;No;;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1416220;"PTP_022 - Os títulos das tarefas/tasks estão vindo em todas as etapas como ""Preparar proposta de pagamento"". 

Necessário carregar os descritivos das etapas do WF_021 conforme anexo, para que o atendente consiga diferenciar na tela principal do agent workspace qual é a etapa do processo que está sendo tratada.";Service Catalog;Support;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1416348;Criar oferta OTC_564 cfme anexo;Service Catalog;Project;No;;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1416371;Favor alterar a tabela da imagem anexa para que quando a classe de imobilizado iniciando em MX deve de mudar o campo Vida útil para não ser obrigatório. Favor não alterar as demais regras que existem nesta tabela!;Service Catalog;Project;No;;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1416492;Favor adicionar na oferta de serviços RTR_3157 o pré-requesito para abrir da oferta RTR_3160.;Service Catalog;Project;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1416643;Gerar jrelatorio das ofertas OTC_023 / 024 / 025 cfme dados em anexo.;Dashboards and Reports;Support advanced;No;;4;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1417077;"Incluir SLA para o Step 2 do OTC_WF_111, tarefa principal (RPA): 
(16-5) 0:30 Hour.";Workflows and Tasks;Support;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1417112;OTC_023 - 024 e 025, alterar aprovador especial para SOLAR. De Kirk Para Jonas dos Santos;Service Catalog;Support advanced;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1417148;"OTC_WF_123:
Alterar Step 1: SLA (16-5) 4:00 hour
Alterar Step 5: Step to Go: 8  
Alterar Step 9: SLA (16-5) 2:00 hour

Tornar a pergunta ""É necessário realizar a liberação de crédito para o cliente?"" de resposta obrigatória para o atendente.

 (Arquivo Anexo)";Workflows and Tasks;Support;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1417202;"OTC_546 - alterar nome em Espanhol de : 
% referente a la pieza a la vista 
PARA 
% de anticipo";Service Catalog;Support;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1420326;Alterar a rotina da oferta de serviço RTR_3164 de rotina para rotina de fechamento;Service Catalog;Project;No;;1;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1420507;"Adicionar as ofertas abaixo Financial closing region: Brasil
RTR_1776, RTR_1775, RTR_1773, RTR_1772";Service Catalog;Project;No;;1;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1421191;Ajustar SLA da oferta RTR_3195 para 32 horas. Ajustar workflow RTR_WF_3195, conforme anexo.;Workflows and Tasks;Project;No;;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1422251;"Ativar essas ofertas da Colômbia em DEV, QA e PRD:
ID
RTR_3148
RTR_3142
RTR_3146
RTR_3135
RTR_3151
RTR_3136
RTR_3138
RTR_3149
RTR_3140
RTR_3132
RTR_3133
RTR_3134
RTR_3147
RTR_3150";Service Catalog;Support;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1422987;"KAIZEN

Componente para traduções.
• Aumentar o escopo do botão atual para outras tabelas (sys_translated, sys_documentation. sys_choice)
• UI Action de tradução múltipla, com base em filtro aplicado em tabelas, com a possibilidade de importar/exportar esses dados.";Others;Development;No;21;20;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1423525;"a) Alterar nome do formulário
“Manter complemento adicional de empresa” para “Manter dados complementares de empresa” 
b) Tirar o campo “Instância B1”
É uma informação técnica e de conhecimento do pessoal da plataforma. Eles vão preencher isto.
c) Tirar o campo “Display”
O campo Display será gerado automaticamente com a junção de: Código + Sigla + Razão Social
d) Tirar o campo “Ativo”
Este campo não terá uso nesta tabela. O que irá comandar será a “Data de fechamento”
e) Trocar o campo “Nome da empresa no SAP” para “Razão Social”
O usuário deverá informar a razão social da empresa, sem abreviações.
f) No final do formulário adicionar o link abaixo (Desta maneira os atendentes terão acesso para consultar a tabela quando quiserem).
Clique para consultar a tabela de empresa
https://wbs.myweg.net/nav_to.do?uri=%2Fu_company_complement_list.do%3Fsysparm_clear_stack%3Dtrue";Service Catalog;Project;No;;3;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1423557;Carregar novo WF_218 que tem a segunda aprovação. Verificar se é possível abrir a segunda aprovação somente se o valor da operação for maior do que R$ 3.000,00.;Service Catalog;Support advanced;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1423631;RTR_WF_102_v5 | 5 | Análise/tratamento de exceções RPA do contrato de câmbio - alterar SLA para (8-5) 3h.;Service Catalog;Support;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1424035;Cadastrar as contas em anexo no formulário PTP_060 para todas as empresas do Mèxico.;Service Catalog;Project;No;;3;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1424304;"Alterar a descrição da oferta para Disponibilizar relatório de faturados e não entregue para auditoria
Alterar a descrição da task title para Disponibilizar relatório de faturados e não entregue para auditoria
Alterar a descrição da task description para Gerar razão contábil no SAP da conta 112010117 a 112010118, salvar em arquivo excel e enviar para Seção Consolidação e Informações Gerenciais";Service Catalog;Support;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1424701;"Proposta de Kaizen: Ofertas de Serviço direcionadas à criação ou alteração de Itens de Catálogo.

Situação da melhoria: Solicitações de alteração ou criação de Itens de Catálogo costumam vir sem o nível adequado de detalhamento, gerando dúvidas por parte dos desenvolvedores. Problemas: tempo investido nesses retornos de solicitações; Muitas vezes os analistas não estão disponíveis para tirar dúvidas, pois estão envolvidos em roll-outs do exterior por exemplo, e em casos como esse há vezes em que o desenvolvedor precisa desenvolver da maneira que ele interpretar a ambiguidade; A falta de comunicação nos casos em que a solicitação não está bem especificada resulta em retrabalho por conta das correções vindas dos testes.

Descrição da melhoria: Criar formulários/ofertas de serviço voltados para dar um formato padrão para esse tipo de solicitação relacionada a Itens de Catálogo e obrigar um nível básico de detalhamento sobre o que é necessário para a alteração ou a implementação de um novo Item de Catálogo. Alguns pontos nesses formulários auxiliariam os analistas no preenchimento dos campos de especificação, com sugestão automática de traduções dos campos em inglês, trazidas da plataforma quando já existentes ou através de uma API paga de traduções. Isso poderia possibilitar a redução de tempo gasto em retrabalho e contatação com os analistas das esteiras, trazendo também mais autonomia aos times de desenvolvimento e suporte. Também prever uma diferenciação entre cada tarefa de correção retornada.

Ganho estimado:
1) TEMPO: Redução do tempo médio questionando analistas solicitantes, pois reduzirá a ambiguidade das informações passadas. Estimado aproximadamente 1,5 horas poupadas por semana, por desenvolvedor (90 minutos x 4 semanas x 6 desenvolvedores = 36 horas por mês).
2) MENOS TAREFAS DE CORREÇÃO: Redução do número de aberturas de tarefas de correção (possível mensurar proporção reduzida, estimado 25% a menos de tarefas de correção).
3) ASSERTIVIDADE DE INDICADORES: Redução também da reabertura dessas tarefas, que ao serem encerradas novamente não atualizam o campo 'Encerrado Em', que afeta os indicadores de produtividade dos desenvolvedores (sugerido não reabrir a mesma tarefa de correção).
4) FLUIDEZ NO TRABALHO: Redução de solicitações paradas por aguardo de dados faltantes dos analistas.";Others;Development;No;21;20;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1425149;"Permitir que o formulário ""Solicitação de toner"" seja visível em PRD somente pelos usuários t-edsonn e e-gabrielps. Apenas estes podem usar o formulário";Service Catalog;Support advanced;No;;2;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1426368;Renomear oferta SC_023- Criar documentação para o Service Desk do Negócio para Criar documentação para o Service Desk do WBS;Portal (Employees / Internal Users);Support;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1426406;"Desenvolver uma cópia do workflow IT_WF_054 com um subflow (passo 4 do wf_054) personalizado para o formulário (Kit SFM Motors).
O subflow atual tem variáveis a mais que está impedindo a continuidade do mesmo, gerando erros de workflow.";Workflows and Tasks;Support advanced;No;;4;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1427147;Alterar o calendário da oferta para 6º dia útil (6 Business day | 0h | Global HUB | Every month | America/Sao Paulo);Service Catalog;Support;No;;1;_GG_WBS_SERVICE_CENTER_SUPPORT
RITM1428792;"Aberto para: Murilo Horst - External. Sugestão: RITM1332671.


Bom dia,

Preciso que seja criado um formulário ""Acessos Representantes e Clientes WEG""

Campos obrigatórios:

-Código da empresa
-Código pessoa de contato
-E-mail

-Tipo de solicitação (abrir opção)
-Atualização de acesso (nome/e-mail/perfil de acesso/empresa de acesso...)
-Desativar/reativar login
-Reset de senha

Campo não obrigatório:

Observações (inserir campo para texto descritivo)

Configurar formulário para abrir chamado na fila _GG_WBS_IT_BR_ACCESS_ADVANCED";Service Catalog;Support advanced;No;;4;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1428949;"Alterar o formulário ""Solicitar custo do produto sem material estruturado (WTI)"" (RTR_1322):
-Campo ""Unidade de negócio"": alterar para obrigatório
-Campo Centro: alterar para ""Centro produtivo""";Service Catalog;Support advanced;No;;3;_GG_WBS_SERVICE_CENTER_SUPPORT_ADVANCED
RITM1428979;Retirar o step 2 do WF_1473 - Executar reavaliação ACVL real  - Oferta RTR_1302. - anexo;Workflows and Tasks;Project;No;;1;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1429577;"Criar nova oferta OTC_565 - Efetuar Facturación Finiquito y Venta Normal con Anticipos
Incluir dois multirows para popular as ordens de venda:
1) Utilizar como referência o formulário da OTC_545 com a pesquisa e multirow que consulta as ordens de venda com disponibilidade de estoque no SAP ECC - Multirow  função ZFWBS_QUERY_OPEN_ORDERS.
  
No campo ¿Cuál es la condición de pago? fixar a opção “""Factura com anticipo"" somente para a nova oferta OTC_565.
 
2) Incluir campo Número da Orden de Venta da Nota de Crédito, multiline, obrigatório. Posicionar abaixo do campo ¿Cuál es la condición de pago?
Permitir pesquisar pela lista de ordem informadas no campo e validar na tabela VBAK-VBELN.
Utilizar como referência a pesquisa do formulário da OTC_508 que consulta as ordens de venda com itens pendentes de remessa no SAP ECC - view do SAP ZVWSD_430.
  
Criar um novo multirow com o label “Órdenes de Venta Nota de Crédito” com os seguintes campos:
Orden de Venta Secuencia dos itens Número de las Facturas de Anticipo Moneda Valor Quantidade a faturar Valor total do item

Não habilitar o campo ¿Cubre esta factura una operación sin transporte de la mercancía?

Manter os campos: 
Información adicional
Ingrese el correo electrónico a continuación para recibir una copia de la notificación cuando se complete la solicitud.
Agregar archivos adjuntos

Vide arquivos com detalhamento";Service Catalog;Development;No;19;8;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1429818;"OTC_036 retirar frase abaixo, em todos os idiomas
A soma dos valores das Ordens de Venda precisa ser o mesmo do valor crédito atual.";Service Catalog;Project;No;;2;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
RITM1430238;"OTC_509 incluir passos 2 e 3 para aprovação por alçada para location México

Incluir tarefas de aprovação 1 requester supervisor, 2 condicional pelo valor do monto a facturar (Between MXP 7,000.00;50,000.00) e 3 condicional pelo valor do monto a facturar (> MXP 50,000.00) 

Incluir campo oculto com o Monto a Facturar convertido para a moeda da empresa. Considerar este montante nas tarefas condicionais para aprovação, 1, 2 e 3.

Vide arquivo anexo WF 517";Service Catalog;Project;No;;4;_GG_WBS_SERVICE_CENTER_DEVELOPMENT
